3,9,242,642,242,689,163,689,151,740,131,740,131,479,150,441,150,10,780,10,"3,374175306","1,35391924","3,374175306","0,2375296912","1,885014138","0,2375296912","1,658812441","-0,973871734","1,281809614","-0,973871734","1,281809614","5,225653207","1,6399623","6,128266033","1,6399623","16,36579572","13,51555137","16,36579572"
3,3,181,659,181,561,781,31,,,,,,,,,,,,,"2,224316682","0,9501187648","2,224316682","3,277909739","13,53440151","15,86698337",,,,,,,,,,,,
3,3,302,729,302,521,881,31,,,,,,,,,,,,,"4,505183789","-0,7125890736","4,505183789","4,228028504","15,41941565","15,86698337",,,,,,,,,,,,
3,3,382,739,382,513,881,61,,,,,,,,,,,,,"6,013195099","-0,9501187648","6,013195099","4,418052257","15,41941565","15,1543943",,,,,,,,,,,,
3,5,412,729,412,519,751,231,838,219,912,160,,,,,,,,,"6,57869934","-0,7125890736","6,57869934","4,275534442","12,96889727","11,11638955","14,60885957","11,40142518","16,00377003","12,80285036",,,,,,,,
3,3,461,730,461,520,732,302,,,,,,,,,,,,,"7,502356268","-0,7363420428","7,502356268","4,251781473","12,61074458","9,429928741",,,,,,,,,,,,
3,3,502,549,511,523,782,282,,,,,,,,,,,,,"8,275212064","3,562945368","8,444863336","4,180522565","13,55325165","9,904988124",,,,,,,,,,,,
3,5,511,719,511,591,723,431,818,381,912,311,,,,,,,,,"8,444863336","-0,4750593824","8,444863336","2,565320665","12,44109331","6,365795724","14,23185674","7,553444181","16,00377003","9,216152019",,,,,,,,
3,2,604,651,891,391,,,,,,,,,,,,,,,"10,19792648","1,140142518","15,60791706","7,315914489",,,,,,,,,,,,,,
2,2,393,471,770,471,,,,,,,,,,,,,,,"6,220546654","5,41567696","13,32704995","5,41567696",,,,,,,,,,,,,,
2,2,213,450,901,450,,,,,,,,,,,,,,,"2,827521206","5,914489311","15,79641847","5,914489311",,,,,,,,,,,,,,
2,2,132,431,761,431,,,,,,,,,,,,,,,"1,300659755","6,365795724","13,15739868","6,365795724",,,,,,,,,,,,,,
2,2,52,411,900,411,,,,,,,,,,,,,,,"-0,2073515551","6,840855107","15,77756833","6,840855107",,,,,,,,,,,,,,
2,2,102,391,781,391,,,,,,,,,,,,,,,"0,7351555137","7,315914489","13,53440151","7,315914489",,,,,,,,,,,,,,
2,2,452,359,900,359,,,,,,,,,,,,,,,"7,332704995","8,076009501","15,77756833","8,076009501",,,,,,,,,,,,,,
2,2,262,340,900,340,,,,,,,,,,,,,,,"3,751178134","8,527315914","15,77756833","8,527315914",,,,,,,,,,,,,,
2,2,322,311,750,311,,,,,,,,,,,,,,,"4,882186616","9,216152019","12,95004713","9,216152019",,,,,,,,,,,,,,
2,2,292,261,900,261,,,,,,,,,,,,,,,"4,316682375","10,40380048","15,77756833","10,40380048",,,,,,,,,,,,,,
2,5,1182,310,1220,310,1220,38,352,38,352,308,,,,,,,,,"21,0933082","9,239904988","21,80961357","9,239904988","21,80961357","15,70071259","5,447690858","15,70071259","5,447690858","9,287410926",,,,,,,,
2,2,342,210,901,210,,,,,,,,,,,,,,,"5,259189444","11,6152019","15,79641847","11,6152019",,,,,,,,,,,,,,
